Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering
0x868231f4f4e4135935f9b44c72d99df0357828d9,0x868231f4f4e4135935f9b44c72d99df0357828d9,,5,0,5,48,0,48,0,0,0,0,0.004315,0,0.000028,0,2510,27,29,0.2
0x7c4f8297e8d35988aabbe1d772543717664a0721,0x7c4f8297e8d35988aabbe1d772543717664a0721,,6,0,6,20,0,20,0,0,0,0,0.007395,0,0.000028,0,2509,27,29,0.266667
0x5371bc6231123e662a2ebeaccf0fd3cd55b71bbb,0x5371bc6231123e662a2ebeaccf0fd3cd55b71bbb,,5,0,5,16,0,16,0,0,0,0,0.001543,0,0.000028,0,2309,27,29,0
0xc6e0888c1c6d506afd4f847ca06e7434c41f6833,0xc6e0888c1c6d506afd4f847ca06e7434c41f6833,,5,2,7,28,5,33,7,0.280598,0.299043,318.988142,0.001543,0.000001,0.000028,0,10613,27,29,0
0x525e6091a14d9d58702c39fe2134e19836702c41,0x525e6091a14d9d58702c39fe2134e19836702c41,,4,0,4,22,0,22,0,0,0,0,0.004006,0,0.000028,0,3091,27,29,0.25
0xd6a60f2e639d099ec8bdec7ff0d3b53733b85e41,0xd6a60f2e639d099ec8bdec7ff0d3b53733b85e41,,5,0,5,65,0,65,0,0,0,0,0.001543,0,0.000028,0,3090,27,29,0
0x09f85f5ad8dfffb99c779b001a0c14d0cce2fecf,0x09f85f5ad8dfffb99c779b001a0c14d0cce2fecf,,5,0,5,12,0,12,0,0,0,0,0.001543,0,0.000028,0,2507,27,29,0
0xbd5326d2682cda8ed241eb423ecf3d85432dc46c,0xbd5326d2682cda8ed241eb423ecf3d85432dc46c,,5,0,5,36,0,36,0,0,0,0,0.012631,0,0.000028,0,2308,27,29,0.2
0xfbbc55e3359d7b793d937a9248d31b26fa9daf42,0xfbbc55e3359d7b793d937a9248d31b26fa9daf42,,3,0,3,8,0,8,0,0,0,0,0.000926,0,0.000028,0,2083,27,29,0
0x4252a70b41eadd89656d4f9881a7d1242f342944,0x4252a70b41eadd89656d4f9881a7d1242f342944,,5,0,5,28,0,28,0,0,0,0,0.001543,0,0.000028,0,2082,27,29,0
0xd05aaf2fe48943b6bc9ab9f31af15ceee04d15fc,0xd05aaf2fe48943b6bc9ab9f31af15ceee04d15fc,,5,0,5,9,0,9,0,0,0,0,0.001543,0,0.000028,0,2307,27,29,0
